data_year,utility_characteristics_facility_number,utility_characteristics_facility_name,utility_number,utility_name,state,ba_code,residential_revenues_thousand_dollars,residential_sales_megawatthours,residential_customers_count,commercial_revenues_thousand_dollars,commercial_sales_megawatthours,commercial_customers_count,industrial_revenues_thousand_dollars,industrial_sales_megawatthours,industrial_customers_count,transportation_revenues_thousand_dollars,transportation_sales_megawatthours,transportation_customers_count,total_revenues_thousand_dollars,total_sales_megawatthours,total_customers_count
2024,65232.0,Chambers 3 - Lewis County,61944.0,MN8 Energy LLC,NY,NYIS,0.0,0.0,0.0,229.0,2907.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,2907.0,1.0
2024,65255.0,Chambers 4 - Eastvale DCA2,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,250.0,424.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,424.0,1.0
2024,65238.0,Chambers 4 - Eastvale LGB3,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,275.0,3937.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,3937.0,1.0
2024,65253.0,Chambers 4 - Rialto LGB8,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,319.0,4265.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,4265.0,1.0
2024,65254.0,Chambers 4 - Sacramento SMF1,61944.0,MN8 Energy LLC,CA,,0.0,0.0,0.0,161.0,2280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,2280.0,1.0
2024,65256.0,Chambers 4 - San Bernardino SNA7,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,315.0,594.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,594.0,1.0
2024,55187.0,Channelview Cogeneration Plant,56380.0,EIF Channelview Cogeneration LLC,TX,ERCO,0.0,0.0,0.0,0.0,0.0,0.0,60724.0,2573012.0,1.0,0.0,0.0,0.0,60724.0,2573012.0,1.0
2024,63967.0,Charter Durabar at Woodstock,63511.0,"Luminace Solar Illinois 2, LLC",IL,PJM,0.0,0.0,0.0,94.0,3139.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,3139.0,1.0
2024,60465.0,Chesapeake College,57313.0,Tesla Inc.,MD,PJM,0.0,0.0,0.0,112.0,2372.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,2372.0,1.0
2024,59755.0,Chester Power Partners,60281.0,"Altus Power America Management, LLC",VT,ISNE,0.0,0.0,0.0,616.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,2601.0,1.0
2024,63545.0,Chevron - Lost Hills Hybrid,61944.0,MN8 Energy LLC,CA,CISO,0.0,0.0,0.0,4346.0,64911.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4346.0,64911.0,1.0
2024,57011.0,Chuckawalla Valley State Prison,56302.0,SunE CPA CDC1 LLC,CA,CISO,0.0,0.0,0.0,251.0,1390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1390.0,1.0
2024,57645.0,City & County of Denver at Denver Int'l,56974.0,"Denver Airport Solar, LLC",CO,PSCO,0.0,0.0,0.0,0.0,0.0,0.0,407.0,3994.0,1.0,0.0,0.0,0.0,407.0,3994.0,1.0
2024,57681.0,City of Boulder WWTP,57005.0,"SunE NLB-2, LLC",CO,PSCO,0.0,0.0,0.0,57.0,1177.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1177.0,1.0
2024,67514.0,City of Green Forest (Carroll),66236.0,"Entegrity Solar Green Forest, LLC",AR,SWPP,0.0,0.0,0.0,119.0,2205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,2205.0,1.0
2024,60668.0,City of Havre De Grace C,61419.0,"Luminace Solar MC, LLC",MD,PJM,0.0,0.0,0.0,299.0,3323.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,3323.0,1.0
2024,67994.0,City of Long Beach Airport Lot A & B,66541.0,"Solar DG CA Long Beach, LLC",CA,LDWP,0.0,0.0,0.0,340.0,2834.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,2834.0,2.0
2024,57682.0,City of Madera WWTP,57006.0,"SunE GIL1, LLC",CA,CISO,0.0,0.0,0.0,243.0,1426.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,1426.0,1.0
2024,59329.0,City of Soledad Water Reclamation,56930.0,"Foundation HA Energy Generation, LLC",CA,CISO,0.0,0.0,0.0,0.0,0.0,0.0,575.0,3982.0,1.0,0.0,0.0,0.0,575.0,3982.0,1.0
2024,66469.0,Clovis East High School,57313.0,Tesla Inc.,CA,CISO,0.0,0.0,0.0,223.0,1479.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,1479.0,1.0
2024,66468.0,Clovis High School,57313.0,Tesla Inc.,CA,CISO,0.0,0.0,0.0,115.0,826.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,826.0,1.0
2024,66470.0,Clovis North High School,57313.0,Tesla Inc.,CA,CISO,0.0,0.0,0.0,219.0,1463.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,1463.0,1.0
2024,60923.0,Clyde Solar Array,60571.0,"AEP Onsite Partners, LLC",OH,PJM,0.0,0.0,0.0,317.0,4232.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,4232.0,1.0
2024,63830.0,Conagra Foods at St. Elmo,63511.0,"Luminace Solar Illinois 2, LLC",IL,MISO,0.0,0.0,0.0,65.0,3238.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3238.0,1.0
2024,60228.0,Conn Mun Electric Energy Coop,57313.0,Tesla Inc.,CT,ISNE,0.0,0.0,0.0,133.0,1143.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1143.0,1.0
2024,63358.0,Corbin Russwin Phase 3 Berlin,62067.0,Powerflex,CT,ISNE,0.0,0.0,0.0,132.0,1711.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1711.0,1.0
2024,60450.0,Corcoran,63249.0,Terraform Arcadia,CA,CISO,0.0,0.0,0.0,366.0,1659.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,1659.0,1.0
2024,60150.0,Cornell Geneva Solar Farm,59942.0,Argos Solar LLC,NY,NYIS,0.0,0.0,0.0,352.0,3175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,3175.0,1.0
2024,59470.0,Cornell Snyder Road Solar Array,59237.0,"Ulysses Solar, LLC",NY,NYIS,0.0,0.0,0.0,123.0,1581.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,1581.0,1.0
