data_year,utility_number,utility_name,state,ba_code,yearly_energy_and_demand_savings_number_of_customers_enrolled_residential,yearly_energy_and_demand_savings_number_of_customers_enrolled_commercial,yearly_energy_and_demand_savings_number_of_customers_enrolled_industrial,yearly_energy_and_demand_savings_number_of_customers_enrolled_transportation,yearly_energy_and_demand_savings_number_of_customers_enrolled_total,yearly_energy_and_demand_savings_energy_savings_mwh_residential,yearly_energy_and_demand_savings_energy_savings_mwh_commercial,yearly_energy_and_demand_savings_energy_savings_mwh_industrial,yearly_energy_and_demand_savings_energy_savings_mwh_transportation,yearly_energy_and_demand_savings_energy_savings_mwh_total,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_residential,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_commercial,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_industrial,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_transportation,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_total,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_residential,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_commercial,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_industrial,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_transportation,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_total,program_costs_customer_incentives_thousand_dollars_residential,program_costs_customer_incentives_thousand_dollars_commercial,program_costs_customer_incentives_thousand_dollars_industrial,program_costs_customer_incentives_thousand_dollars_transportation,program_costs_customer_incentives_thousand_dollars_total,program_costs_all_other_costs_thousand_dollars_residential,program_costs_all_other_costs_thousand_dollars_commercial,program_costs_all_other_costs_thousand_dollars_industrial,program_costs_all_other_costs_thousand_dollars_transportation,program_costs_all_other_costs_thousand_dollars_total,dsm_program_grid_connected_water_heater
2024,17543,South Carolina Public Service Authority,SC,SC,1427,0,19,0,1446,0,0,0,0,0,2.304,0,728.67,0,730.974,0.814,0,0,0,0.814,58.075,0,94000,0,94058.075,1110.761,0,0,0,1110.761,
2024,17548,South Central Public Pwr Dist,NE,SWPP,0,11,1149,0,1160,0,3528,0,0,3528,0,24,69.7,0,93.7,0,24,40,0,64,0,3484.96,3238.184,0,6723.144,0,10,187.004,0,197.004,
2024,17572,South River Elec Member Corp,NC,CPLE,2915,,,,2915,,,,,,59.03,,,,59.03,,,,,,,,,,,,,,,,
2024,17599,Southeastern Indiana R E M C,IN,MISO,1530,,,,1530,0.001,,,,0.001,0.112,,,,0.112,0.112,,,,0.112,17.701,,,,17.701,0,,,,0,45
2024,17609,Southern California Edison Co,CA,CISO,231140,6181,1560,0,238881,,,,,,169,89,389,0,647,134,43,191,0,368,24552,20813,56226,0,101591,3218,623,2017,0,5858,
2024,17633,Southern Indiana Gas & Elec Co,IN,MISO,35055,349,,,35404,9.25,0,,,9.25,13.272,0.075,,,13.347,5.163,0.075,,,5.238,263.338,14.531,,,277.869,521.67,3.33,,,525,
2024,17637,Southern Maryland Elec Coop Inc,MD,PJM,7089,0,0,0,7089,0,0,0,0,0,7.1,0,0,0,7.1,7.1,0,0,0,7.1,371.93,0,0,0,371.93,1655.97,0,0,0,1655.97,20
2024,17671,Southwest Arkansas E C C,AR,MISO,0,0,5,0,5,0,0,0.005,0,0.005,0,0,33.225,0,33.225,0,0,15.76,0,15.76,0,0,164.81,0,164.81,0,0,0,0,0,
2024,17684,Southwest Louisiana E M C,LA,MISO,,5,,,5,,18,,,18,,0.3,,,0.3,,0.3,,,0.3,,3.8,,,3.8,,,,,,
2024,17692,Southwest Public Power Dist,NE,SWPP,,,1211,,1211,,,1034.053,,1034.053,,,29.797,,29.797,,,20.554,,20.554,,,,,,,,95.769,,95.769,
2024,17698,Southwestern Electric Power Co,TX,SWPP,,8,,,8,,58,,,58,,7.2,,,7.2,,4.6,,,4.6,,135,,,135,,23,,,23,
2024,17718,Southwestern Public Service Co,TX,SWPP,6899,263,7,,7169,,1,2.816,,3.816,11,2,16,,29,11,2,16,,29,370,71,630,,1071,86,16,9,,111,
2024,17832,Snapping Shoals El Member Corp,GA,SOCO,105253,4440,49,,109742,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,18087,Town of Sterling - (MA),MA,ISNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,18125,Stillwater Utilities Authority,OK,SWPP,,1,,,1,,719,,,719,,2,,,2,,1,,,1,,42.07,,,42.07,,,,,,
2024,18203,Tallapoosa River Elec Coop Inc,AL,SOCO,,,1,,1,,,0,,0,,,4.07,,4.07,,,0,,0,,,228.3,,228.3,,,0,,0,
2024,18280,Sulphur Springs Valley E C Inc,AZ,WALC,,799,,,799,,60.65,,,60.65,,90.831,,,90.831,,22.887,,,22.887,,0,,,0,,1,,,1,
2024,18304,"Sumter Electric Coop, Inc",FL,SEC,,,8,,8,,,71,,71,,,8,,8,,,7,,7,,,,,,,,484,,484,
2024,18445,City of Tallahassee - (FL),FL,TAL,,4,,,4,,,,,,,44.269,,,44.269,,,,,,,6165,,,6165,,,,,,
2024,18454,Tampa Electric Co,FL,TEC,1045,236,28,,1309,,10212,33154,,43366,1,106,135,,242,,,,,,79,7321,21850,,29250,1305,805,39,,2149,
2024,18488,City of Taunton,MA,ISNE,178,,,,178,27,,,,27,10,,,,10,1.246,,,,1.246,717.893,,,,717.893,0,,,,0,
2024,18642,Tennessee Valley Authority,AL,TVA,0,97,82,0,179,0,89,3771,0,3860,0,3,462,0,465,0,3,346,0,349,0,78,23282,0,23360,0,78,60,0,138,
2024,18642,Tennessee Valley Authority,GA,TVA,0,1,2,0,3,0,4,65,0,69,0,0,6,0,6,0,0,3,0,3,0,3,475,0,478,0,3,0,0,3,
2024,18642,Tennessee Valley Authority,KY,TVA,0,67,49,0,116,0,35,4724,0,4759,0,7,241,0,248,0,1,231,0,232,0,93,16763,0,16856,0,30,37,0,67,
2024,18642,Tennessee Valley Authority,MS,TVA,0,35,33,0,68,0,35,3518,0,3553,0,1,359,0,360,0,1,312,0,313,0,31,17616,0,17647,0,31,0,0,31,
2024,18642,Tennessee Valley Authority,NC,TVA,0,0,2,0,2,0,0,521,0,521,0,0,45,0,45,0,0,45,0,45,0,0,2087,0,2087,0,0,0,0,0,
2024,18642,Tennessee Valley Authority,TN,TVA,0,751,535,0,1286,0,644,6984,0,7628,0,37,954,0,991,0,25,595,0,620,0,1310,35073,0,36383,0,411,474,0,885,
2024,18642,Tennessee Valley Authority,VA,TVA,0,2,3,0,5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,2,
2024,18997,The Toledo Edison Co,OH,PJM,0,0,4,0,4,0,0,0,0,0,0,0,193.228,0,193.228,0,0,193.228,0,193.228,0,0,11164.096,0,11164.096,0,0,0,0,0,
2024,19126,"TriEagle Energy, L.P.",TX,ERCO,2398,0,0,0,2398,4.42,0,0,0,4.42,24.64,0,0,0,24.64,2.76,0,0,0,2.76,,,,,,,,,,,
2024,19157,MiEnergy Cooperative,IA,MISO,2964,204,,,3168,,,,,,1.352,3.929,,,5.281,0.957,2.78,,,3.737,147.84,10.24,,,158.08,213.44,14.72,,,228.16,45
2024,19157,MiEnergy Cooperative,MN,MISO,6300,434,,,6734,,,,,,2.873,8.348,,,11.221,2.033,5.908,,,7.941,314.16,21.76,,,335.92,453.56,31.28,,,484.84,170
2024,19160,"Tri-County Electric Coop, Inc (OK)",OK,SWPP,,14,15,,29,,0,230,,230,,7.32,0.56,,7.88,,1.997,0.422,,2.419,,7.4,4.41,,11.81,,1.5,1.5,,3,
2024,19160,"Tri-County Electric Coop, Inc (OK)",TX,SWPP,,2,,,2,,0,,,0,,1.519,,,1.519,,1.445,,,1.445,,5.347,,,5.347,,1.5,,,1.5,
2024,19189,Trico Electric Cooperative Inc,AZ,WALC,23,3,,,26,12.4,2.8,,,15.2,3.2,0.1,,,3.3,1.73,0,,,1.73,,,,,,,,,,,
2024,19327,"TXU Energy Retail Co, LLC",TX,ERCO,4577,12,0,0,4589,8.3,0.01,0,0,8.31,21.1,0.08,0,0,21.18,4.62,0.02,0,0,4.64,,,,,,,,,,,
2024,19396,Tri-County Electric Coop (MI),MI,MISO,6124,,,,6124,0,,,,0,25.84,,,,25.84,10.98,,,,10.98,573.12,,,,573.12,0,,,,0,77
2024,19436,Union Electric Co - (MO),MO,MISO,50563,913,129,,51605,807.412,228.748,319.974,,1356.134,56.408,71.423,78.752,,206.583,,,,,,1840.9,1785.653,1968.522,,5595.075,6365.521,1583.343,1745.493,,9694.357,
2024,19446,Duke Energy Kentucky,KY,PJM,12481,9,,,12490,,,,,,14.373,9.108,,,23.481,,,,,,200.144,186.244,,,386.388,914.12,177.257,,,1091.377,
2024,19490,United Electric Coop Service Inc - (TX),TX,ERCO,53350,9459,52,0,62861,504.858,216.701,242.476,0,964.035,4.489,1.61,1.802,0,7.901,4.489,1.61,1.802,0,7.901,62.1,0,0,0,62.1,41.988,0,0,0,41.988,
2024,19497,United Illuminating Co,CT,ISNE,8021,60,11,0,8092,0,0,0,0,0,7.6,4.555,0.804,0,12.959,7.6,4.048,0.714,0,12.362,344.443,83.314,14.702,0,442.459,595.505,302.312,53.349,0,951.166,
2024,19499,"United Power, Inc",CO,WACM,3256,11,8,,3275,,,,,,17.3,32.55,58.8,,108.65,5.34,12.6,17.85,,35.79,75.15,,,,75.15,15.812,,,,15.812,
