utility_characteristics_year,state,utility_number,utility_name,ba_code,number_and_capacity_mw_number_of_generators,number_and_capacity_mw_total_capacity,number_and_capacity_mw_capacity_back_up_only,number_and_capacity_mw_capacity_utility_owned,photovoltaic_mw_type,photovoltaic_mw_residential,photovoltaic_mw_commercial,photovoltaic_mw_industrial,photovoltaic_mw_transportation,photovoltaic_mw_direct_connected,photovoltaic_mw_total,battery_mw_residential,battery_mw_commercial,battery_mw_industrial,battery_mw_transportation,battery_mw_direct_connected,battery_mw_total,battery_energy_mwh_residential,battery_energy_mwh_commercial,battery_energy_mwh_industrial,battery_energy_mwh_transportation,battery_energy_mwh_direct_connected,battery_energy_mwh_total,wind_mw_residential,wind_mw_commercial,wind_mw_industrial,wind_mw_transportation,wind_mw_direct_connected,wind_mw_total,hydroelectric_mw_residential,hydroelectric_mw_commercial,hydroelectric_mw_industrial,hydroelectric_mw_transportation,hydroelectric_mw_direct_connected,hydroelectric_mw_total,fuel_cells_mw_residential,fuel_cells_mw_commercial,fuel_cells_mw_industrial,fuel_cells_mw_transportation,fuel_cells_mw_direct_connected,fuel_cells_mw_total,internal_combustion_mw_residential,internal_combustion_mw_commercial,internal_combustion_mw_industrial,internal_combustion_mw_transportation,internal_combustion_mw_direct_connected,internal_combustion_mw_total,combustion_turbine_mw_residential,combustion_turbine_mw_commercial,combustion_turbine_mw_industrial,combustion_turbine_mw_transportation,combustion_turbine_mw_direct_connected,combustion_turbine_mw_total,steam_mw_residential,steam_mw_commercial,steam_mw_industrial,steam_mw_transportation,steam_mw_direct_connected,steam_mw_total,other_mw_residential,other_mw_commercial,other_mw_industrial,other_mw_transportation,other_mw_direct_connected,other_mw_total,total_mw_residential,total_mw_commercial,total_mw_industrial,total_mw_transportation,total_mw_direct_connected,total_mw_total
2024,AL,11714.0,Marshall-De Kalb Electric Coop,TVA,11,0.51,0,0,AC,0.01,0.5,0,0,0,0.51,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.5,0,0,0,0.51
2024,AL,13144.0,City of Muscle Shoals,TVA,1,0.006,0,0,AC,0.006,0,0,0,0,0.006,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.006
2024,AL,13669.0,North Alabama Electric Coop,TVA,9,0.137,0,0,AC,0.087,0.05,0,0,0,0.137,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.05,0,0,0,0.137
2024,AL,16629.0,Sand Mountain Electric Coop,TVA,10,0.222,0,0,AC,0.036,0.186,0,0,0,0.222,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.186,0,0,0,0.222
2024,AL,17033.0,Sheffield Utilities,TVA,7,0.119,0,0,AC,0.019,0.1,0,0,0,0.119,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.1,0,0,0,0.119
2024,AL,18203.0,Tallapoosa River Elec Coop Inc,SOCO,24,0.322,0,0,AC,0.164,0.158,,,,0.322,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0.164,0.158,0,0,0,0.322
2024,AL,18472.0,City of Tarrant,TVA,1,0.05,0,0,AC,0,0.05,0,0,0,0.05,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05
2024,AR,814.0,Entergy Arkansas LLC,MISO,12,5.85,,,,,,,,,0.0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,5.85,,,,5.85,,,,,,0,,,,,,0,,,,,,0,0,5.85,0,0,0,5.85
2024,AR,4280.0,Conway Corporation,MISO,7,1.951,1.951,1.951,,,,,,,0.0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,1.951,,,,1.951,,,,,,0,,,,,,0,,,,,,0,0,1.951,0,0,0,1.951
2024,AR,13718.0,City of North Little Rock - (AR),MISO,2,1.99,,1.99,AC,,1.99,,,,1.99,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,1.99,0,0,0,1.99
2024,AR,14289.0,Ozarks Electric Coop Corp - (AR),SWPP,280,18.0,18,1.65,,,,,,,0.0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,6.5,5.5,6,,,18,,,,,,0,,,,,,0,,,,,,0,6.5,5.5,6,0,0,18.0
2024,AZ,12351.0,City of Mesa - (AZ),WALC,4,0.806,,,AC,,,,,0.806,0.806,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,0,0,0,0.806,0.806
2024,AZ,13318.0,"Navopache Electric Coop, Inc",TEPC,5,0.4,,,AC,0.4,,,,,0.4,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0.4,0,0,0,0,0.4
2024,AZ,16572.0,Salt River Project,SRP,5,4.7,4.7,1.458,,0,0,0,0,,0.0,,,,,,0,,,,,,0,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,4.7,0,,4.7,0,0,0,0,,0,0,0,0,0,,0,,,,,,0,0,0,4.7,0,0,4.7
2024,AZ,19189.0,Trico Electric Cooperative Inc,WALC,2,0.287,0,0.287,DC,,0.287,,,,0.287,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,0.287,0,0,0,0.287
