data_year,utility_number,utility_name,short_form,state,ba_code,number_of_customers_enrolled_residential,number_of_customers_enrolled_commercial,number_of_customers_enrolled_industrial,number_of_customers_enrolled_transportation,number_of_customers_enrolled_total,types_of_program_time_of_use_pricing_residential,types_of_program_time_of_use_pricing_commercial,types_of_program_time_of_use_pricing_industrial,types_of_program_time_of_use_pricing_transportation,types_of_program_real_time_pricing_residential,types_of_program_real_time_pricing_commercial,types_of_program_real_time_pricing_industrial,types_of_program_real_time_pricing_transportation,types_of_program_variable_peak_pricing_residential,types_of_program_variable_peak_pricing_commercial,types_of_program_variable_peak_pricing_industrial,types_of_program_variable_peak_pricing_transportation,types_of_program_critical_peak_pricing_residential,types_of_program_critical_peak_pricing_commercial,types_of_program_critical_peak_pricing_industrial,types_of_program_critical_peak_pricing_transportation,types_of_program_critical_peak_rebate_residential,types_of_program_critical_peak_rebate_commercial,types_of_program_critical_peak_rebate_industrial,types_of_program_critical_peak_rebate_transportation
2024,3855,Columbia Power System - (TN),,TN,TVA,0,4,1,0,5,,Y,Y,,,,,,,,,,,,,,,,,
2024,3915,Coldwater Board of Public Util,,MI,MISO,0,176,67,0,243,,Y,Y,,,,,,,,,,,,,,,,,
2024,3916,Cobb Electric Membership Corp,,GA,SOCO,2606,1723,,,4329,Y,Y,,,,,,,,,,,,,,,,,,
2024,3939,City of College Park - (GA),,GA,SOCO,,1,,,1,,,,,,Y,,,,,,,,,,,,,,
2024,3989,City of Colorado Springs - (CO),,CO,WACM,74,1818,163,,2055,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,4003,City of Colton - (CA),,CA,CISO,,,64,,64,,,Y,,,,,,,,,,,,,,,,,
2024,4045,City of Columbia - (MO),,MO,MISO,,,6,,6,,,Y,,,,,,,,,,,,,,,,,
2024,4068,City of Columbus - (MS),,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,4073,City of Columbus - (WI),,WI,MISO,11,71,3,0,85,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,4110,Commonwealth Edison Co,,IL,PJM,372067,9470,164,0,381701,,,,,Y,Y,Y,Y,,,,,,,,,Y,,,
2024,4147,Town of Concord - (MA),Y,MA,ISNE,68,0,0,0,68,,,,,,,,,,,,,,,,,,,,
2024,4176,Connecticut Light & Power Co,,CT,ISNE,584,2400,600,2,3586,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,
2024,4254,Consumers Energy Co - (MI),,MI,MISO,1642369,5420,592,,1648381,Y,Y,Y,,,,Y,,,,,,Y,,Y,,Y,,,
2024,4294,City of Cookeville - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2024,4295,Comanche County Elec Coop Assn,,TX,ERCO,,18,,,18,,,,,,Y,,,,,,,,,,,,,,
2024,4327,Coosa Valley Electric Coop Inc,,AL,SOCO,,,2,,2,,,Y,,,,,,,,,,,,Y,,,,,
2024,4362,Corn Belt Energy Corporation,,IL,MISO,423,2,,,425,Y,Y,,,,,,,,,,,,,,,,,,
2024,4390,City of Corona - (CA),,CA,CISO,,12,9,,21,,Y,Y,,,,,,,,,,,,,,,,,
2024,4430,"Covington Electric Coop, Inc",,AL,SOCO,,7,,,7,,Y,,,,,,,,,,,,,,,,,,
2024,4432,Coweta-Fayette El Member Corp,,GA,SOCO,115,0,,,115,Y,Y,,,,,,,,,,,,,,,,,,
2024,4433,City of Covington - (GA),,GA,SOCO,,33,1,,34,,Y,,,,,Y,,,,,,,,,,,,,
