data_year,utility_number,utility_name,ownership,state,ba_code,decoupled_residential,decoupled_commercial,decoupled_industrial,decoupled_transportation,revenue_adjustment_method_residential,revenue_adjustment_method_commercial,revenue_adjustment_method_industrial,revenue_adjustment_method_transportation
2024,5027,Delmarva Power,Investor Owned,MD,PJM,Yes,Yes,Yes,No,Proceeding,Proceeding,Proceeding,
2024,5336,City of Dover - (OH),Municipal,OH,PJM,Yes,Yes,Yes,No,Proceeding,Proceeding,Proceeding,
2024,5416,"Duke Energy Carolinas, LLC",Investor Owned,NC,DUK,Yes,No,No,No,Proceeding,,,
2024,6374,Fitchburg Gas & Elec Light Co,Investor Owned,MA,ISNE,Yes,Yes,,,Proceeding,Proceeding,,
2024,7294,City of Glendale - (CA),Municipal,CA,LDWP,Yes,Yes,Yes,,Automatic,Automatic,Automatic,
2024,7563,Grand Valley Power,Cooperative,CO,PSCO,Yes,Yes,Yes,No,Automatic,Automatic,Automatic,
2024,8287,Hawaii Electric Light Co Inc,Investor Owned,HI,NA,Yes,Yes,Yes,,Automatic,Automatic,Automatic,
2024,9191,Idaho Power Co,Investor Owned,ID,IPCO,Yes,Yes,No,No,Proceeding,Proceeding,,
2024,9645,Jamestown Board of Public Util,Municipal,NY,NYIS,Yes,Yes,Yes,Yes,Automatic,Automatic,Automatic,Automatic
2024,10451,Kotzebue Electric Assn Inc,Cooperative,AK,NA,Yes,Yes,Yes,Yes,Automatic,Automatic,Automatic,Automatic
2024,10668,Licking Rural Electric Inc,Cooperative,OH,PJM,Yes,Yes,Yes,No,Automatic,Automatic,Automatic,Automatic
2024,10879,Lehi City Corporation,Municipal,UT,PACE,Yes,Yes,,,Automatic,Automatic,,
2024,11171,Long Island Power Authority,State,NY,NYIS,Yes,Yes,No,Yes,Automatic,Automatic,,Automatic
2024,11200,"Lorain-Medina R E C, Inc",Cooperative,OH,PJM,Yes,Yes,Yes,,Automatic,Automatic,Automatic,
2024,11804,Massachusetts Electric Co,Investor Owned,MA,ISNE,Yes,Yes,Yes,No,Proceeding,Proceeding,Proceeding,
2024,11843,Maui Electric Co Ltd,Investor Owned,HI,NA,Yes,Yes,Yes,,Automatic,Automatic,Automatic,
2024,12268,"Medina Electric Coop, Inc",Cooperative,TX,ERCO,Yes,Yes,Yes,No,Proceeding,Proceeding,Proceeding,Proceeding
