data_year,utility_number,utility_name,state,distribution_circuits,circuits_with_voltage_optimization
2024,3812,City of Clinton - (TN),TN,47,47
2024,3824,Clyde Light & Power,OH,4,
2024,3828,Cloverland Electric Co-op,MI,93,0
2024,3841,Coast Electric Power Assn - (MS),MS,129,0
2024,3843,Coastal Electric Member Corp - (GA),GA,38,38
2024,3855,Columbia Power System - (TN),TN,31,0
2024,3892,City of Coffeyville - (KS),KS,24,0
2024,3915,Coldwater Board of Public Util,MI,34,34
2024,3916,Cobb Electric Membership Corp,GA,201,194
2024,3931,Coles-Moultrie Electric Coop,IL,50,0
2024,3939,City of College Park - (GA),GA,27,
2024,3940,City of College Station - (TX),TX,59,0
2024,3989,City of Colorado Springs - (CO),CO,243,190
2024,4003,City of Colton - (CA),CA,30,
2024,4041,"Columbia Rural Elec Assn, Inc",OR,2,0
2024,4041,"Columbia Rural Elec Assn, Inc",WA,33,0
2024,4045,City of Columbia - (MO),MO,62,62
2024,4063,Co-Mo Electric Coop Inc,MO,74,74
2024,4065,City of Columbus - (OH),OH,61,0
2024,4068,City of Columbus - (MS),MS,31,0
2024,4073,City of Columbus - (WI),WI,13,0
2024,4110,Commonwealth Edison Co,IL,5639,2332
2024,4146,Concho Valley Elec Coop Inc,TX,56,0
2024,4150,City of Concord - (NC),NC,102,102
2024,4153,"Concordia Electric Coop, Inc",LA,28,28
2024,4160,Callaway Electric Cooperative,MO,37,
2024,4176,Connecticut Light & Power Co,CT,1465,0
2024,4226,Consolidated Edison Co-NY Inc,NY,2218,
2024,4237,Consolidated Electric Coop,MO,45,0
2024,4247,Consolidated Water Power Co,WI,28,28
2024,4254,Consumers Energy Co - (MI),MI,2387,1052
2024,4262,Cooke County Elec Coop Assn,TX,58,0
2024,4265,Continental Divide El Coop Inc,NM,28,
2024,4280,Conway Corporation,AR,44,
2024,4294,City of Cookeville - (TN),TN,24,0
2024,4295,Comanche County Elec Coop Assn,TX,50,
2024,4296,"Cookson Hills Elec Coop, Inc",OK,45,
2024,4317,"Coos-Curry Electric Coop, Inc",OR,42,
2024,4327,Coosa Valley Electric Coop Inc,AL,41,
2024,4356,Colorado River Comm of Nevada,NV,38,0
2024,4362,Corn Belt Energy Corporation,IL,144,81
2024,4373,Cornhusker Public Power Dist,NE,114,0
2024,4390,City of Corona - (CA),CA,12,0
2024,4401,"Cotton Electric Coop, Inc",OK,79,0
2024,4430,"Covington Electric Coop, Inc",AL,57,0
2024,4432,Coweta-Fayette El Member Corp,GA,89,0
2024,4433,City of Covington - (GA),GA,21,1
2024,4437,City of Covington - (TN),TN,12,0
2024,4442,PUD No 1 of Cowlitz County,WA,114,
2024,4508,"Crawfordsville Elec, Lgt & Pwr",IN,23,0
2024,4509,Craighead Electric Coop Corp,AR,83,
2024,4524,"Crawford Electric Coop, Inc",MO,42,0
2024,4538,Crisp County Power Comm,GA,27,27
2024,4577,Crow Wing Cooperative Power & Light Comp,MN,94,0
2024,4604,City of Crystal Falls,MI,7,0
2024,4607,City of Cuba City,WI,8,0
2024,4617,Cullman Power Board,AL,15,0
2024,4618,"Cullman Electric Coop, Inc",AL,79,0
2024,4622,"Cumberland Valley Electric, Inc.",KY,57,
2024,4622,"Cumberland Valley Electric, Inc.",TN,2,
2024,4624,Cumberland Elec Member Corp,TN,125,96
2024,4671,Custer Public Power District,NE,103,17
2024,4675,Cuivre River Electric Coop Inc,MO,124,70
2024,4683,City of Cuyahoga Falls - (OH),OH,37,2
2024,4715,Dahlberg Light & Power Co,WI,36,
2024,4717,Dakota Valley Elec Coop Inc,ND,81,0
2024,4720,Dakota Energy Coop Inc,SD,12,0
2024,4743,"Consumers Power, Inc",OR,74,0
2024,4744,Dalton Utilities,GA,78,
2024,4794,City of Danville - (VA),VA,73,
2024,4848,Daviess Martin County R E M C,IN,22,12
2024,4911,Dawson Power District,NE,183,
2024,4920,City of Dayton - (TN),TN,14,0
2024,4922,Dayton Power & Light Co,OH,545,
2024,4939,"Deaf Smith Electric Coop, Inc",TX,101,15
2024,4958,Decatur Utilities,AL,59,34
2024,4960,Decatur County Rural E M C,IN,27,
2024,4975,Deep East Texas Elec Coop Inc,TX,113,0
2024,5027,Delmarva Power,DE,273,
2024,5027,Delmarva Power,MD,198,
2024,5063,City of Denton - (TX),TX,128,80
2024,5070,Delaware Electric Cooperative,DE,91,76
2024,5078,"Denton County Elec Coop, Inc",TX,194,194
2024,5086,Delta Montrose Electric Assn,CO,51,51
2024,5109,DTE Electric Company,MI,3518,6
2024,5148,City of Dickson,TN,45,37
2024,5175,Dixie Electric Power Assn - (MS),MS,97,0
2024,5202,Dixie Electric Membership Corp - (LA),LA,138,130
2024,5204,Dixie Electric Coop - (AL),AL,61,0
2024,5309,City of Dothan - (AL),AL,46,44
2024,5325,City of Douglas,GA,16,
2024,5326,PUD No 1 of Douglas County,WA,69,
2024,5335,City of Dover - (DE),DE,52,47
2024,5336,City of Dover - (OH),OH,13,13
2024,5394,Dubois Rural Electric Coop Inc,IN,35,17
2024,5399,Duck River Elec Member Corp,TN,112,71
2024,5416,"Duke Energy Carolinas, LLC",NC,2186,0
2024,5416,"Duke Energy Carolinas, LLC",SC,748,0
2024,5417,Dunn County Electric Coop,WI,40,0
2024,5480,Town of Danvers,MA,36,0
2024,5487,Duquesne Light Co,PA,634,
2024,5509,City of Dyersburg,TN,36,34
2024,5535,Egyptian Electric Coop Assn,IL,66,64
2024,5551,City of Eagle River - (WI),WI,10,5
2024,5574,East Central Energy,MN,114,108
2024,5574,East Central Energy,WI,17,15
2024,5578,East Mississippi Elec Pwr Assn,MS,37,0
